Identificador Usuario,Tipo Suscripción,Ingresos Mensuales,Día Suscripción,Mes Suscripción,Año Suscripción,Fecha Suscripción,Día Último Pago,Mes Último Pago,Año Último Pago,Semana suscripción,Fecha Último Pago,Meses contratados,Ingresos totales,País,País2,Edad,Género,Dispositivo,Duración Plan,Duplicados,Duracion Plan (Meses),Tipo Plan,id_cliente,fecha,importe,producto,mes,año
1,Básica,11,15,1,23,2023-01-15,1900-01-10,1900-01-06,1900-01-24,domingo,2024-06-10,17,187,Australia,Australia,28,Masculino,Smartphone,1 Mes,0,1,Mensual,1,2030-09-22,239,Plan Premium,9,2030
2,Premium,15,5,9,22,2022-09-05,1900-01-22,1900-01-06,1900-01-24,lunes,2024-06-22,22,330,EEUU,EEUU,35,Femenino,Tablet,1 Mes,0,1,Mensual,2,2023-06-19,436,Plan Premium,6,2023
2,Premium,15,5,9,22,2022-09-05,1900-01-22,1900-01-06,1900-01-24,lunes,2024-06-22,22,330,EEUU,EEUU,35,Femenino,Tablet,1 Mes,0,1,Mensual,2,2027-03-26,307,Plan Básico,3,2027
2,Premium,15,5,9,22,2022-09-05,1900-01-22,1900-01-06,1900-01-24,lunes,2024-06-22,22,330,EEUU,EEUU,35,Femenino,Tablet,1 Mes,0,1,Mensual,2,2027-07-12,281,Plan Estándar,7,2027
2,Premium,15,5,9,22,2022-09-05,1900-01-22,1900-01-06,1900-01-24,lunes,2024-06-22,22,330,EEUU,EEUU,35,Femenino,Tablet,1 Mes,0,1,Mensual,2,2028-01-23,235,Plan Estándar,1,2028
3,Estándar,13,28,2,24,2024-02-28,1900-01-27,1900-01-06,1900-01-24,miércoles,2024-06-27,4,52,Francia,Francia,42,Masculino,Smart TV,6 Meses,0,6,Semestral,3,2026-08-13,437,Plan Estándar,8,2026
3,Estándar,13,28,2,24,2024-02-28,1900-01-27,1900-01-06,1900-01-24,miércoles,2024-06-27,4,52,Francia,Francia,42,Masculino,Smart TV,6 Meses,0,6,Semestral,3,2033-12-07,465,Plan Básico,12,2033
4,Estándar,12,10,7,23,2023-07-10,1900-01-26,1900-01-06,1900-01-24,lunes,2024-06-26,12,144,EEUU,EEUU,51,Femenino,Ordenador,1 Mes,0,1,Mensual,4,2025-03-22,270,Plan Estándar,3,2025
5,Básica,11,1,5,24,2024-05-01,1900-01-28,1900-01-06,1900-01-24,miércoles,2024-06-28,2,22,EEUU,EEUU,33,Masculino,Smartphone,1 Mes,0,1,Mensual,5,2023-12-20,355,Plan Básico,12,2023
6,Premium,15,18,3,23,2023-03-18,1900-01-27,1900-01-06,1900-01-24,sábado,2024-06-27,16,240,Brasil,Brasil,29,Femenino,Smart TV,3 Meses,0,3,Trimestral,6,2025-03-18,386,Plan Premium,3,2025
6,Premium,15,18,3,23,2023-03-18,1900-01-27,1900-01-06,1900-01-24,sábado,2024-06-27,16,240,Brasil,Brasil,29,Femenino,Smart TV,3 Meses,0,3,Trimestral,6,2035-08-31,174,Plan Estándar,8,2035
7,Estándar,13,9,12,22,2022-12-09,1900-01-25,1900-01-06,1900-01-24,viernes,2024-06-25,19,247,Canadá,Canadá,46,Masculino,Tablet,6 Meses,0,6,Semestral,7,2030-12-21,314,Plan Premium,12,2030
